CHUONG TRINH DOI TIEN:
Nhap so tien can doi n = 500000
Nhap loai tien thu 1: 100000
Nhap loai tien thu 2: 20000
Nhap loai tien thu 3: 10000
Loai100000  Loai 20000   Loai 10000
       0           0        50
       0           1        48
       0           2        46
       0           3        44
       0           4        42
       0           5        40
       0           6        38
       0           7        36
       0           8        34
       0           9        32
       0          10        30
       0          11        28
       0          12        26
       0          13        24
       0          14        22
       0          15        20
       0          16        18
       0          17        16
       0          18        14
       0          19        12
       0          20        10
       0          21         8
       0          22         6
       0          23         4
       0          24         2
       0          25         0
       1           0        40
       1           1        38
       1           2        36
       1           3        34
       1           4        32
       1           5        30
       1           6        28
       1           7        26
       1           8        24
       1           9        22
       1          10        20
       1          11        18
       1          12        16
       1          13        14
       1          14        12
       1          15        10
       1          16         8
       1          17         6
       1          18         4
       1          19         2
       1          20         0
       2           0        30
       2           1        28
       2           2        26
       2           3        24
       2           4        22
       2           5        20
       2           6        18
       2           7        16
       2           8        14
       2           9        12
       2          10        10
       2          11         8
       2          12         6
       2          13         4
       2          14         2
       2          15         0
       3           0        20
       3           1        18
       3           2        16
       3           3        14
       3           4        12
       3           5        10
       3           6         8
       3           7         6
       3           8         4
       3           9         2
       3          10         0
       4           0        10
       4           1         8
       4           2         6
       4           3         4
       4           4         2
       4           5         0
       5           0         0
